Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-08T00:00+01:00;2022-01-09T00:00+01:00;08.01.2022;2;34;100;24;24;0;34;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-08T00:00+01:00;2022-01-09T00:00+01:00;08.01.2022;Totalt i retning Rundkjøring-Fv862-Langnesbakken;16;100;24;24;0;16;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-08T00:00+01:00;2022-01-09T00:00+01:00;08.01.2022;Totalt i retning Vervarslinga i Nord-Norge;34;100;24;24;0;34;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-08T00:00+01:00;2022-01-09T00:00+01:00;08.01.2022;Totalt;50;100;24;24;0;50;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-09T00:00+01:00;2022-01-10T00:00+01:00;09.01.2022;1;23;100;24;24;0;23;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-09T00:00+01:00;2022-01-10T00:00+01:00;09.01.2022;2;30;100;24;24;0;30;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-09T00:00+01:00;2022-01-10T00:00+01:00;09.01.2022;Totalt i retning Rundkjøring-Fv862-Langnesbakken;23;100;24;24;0;23;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-09T00:00+01:00;2022-01-10T00:00+01:00;09.01.2022;Totalt i retning Vervarslinga i Nord-Norge;30;100;24;24;0;30;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-09T00:00+01:00;2022-01-10T00:00+01:00;09.01.2022;Totalt;53;100;24;24;0;53;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-10T00:00+01:00;2022-01-11T00:00+01:00;10.01.2022;1;73;100;24;24;0;73;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-10T00:00+01:00;2022-01-11T00:00+01:00;10.01.2022;2;108;100;24;24;0;108;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-10T00:00+01:00;2022-01-11T00:00+01:00;10.01.2022;Totalt i retning Rundkjøring-Fv862-Langnesbakken;73;100;24;24;0;73;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-10T00:00+01:00;2022-01-11T00:00+01:00;10.01.2022;Totalt i retning Vervarslinga i Nord-Norge;108;100;24;24;0;108;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-10T00:00+01:00;2022-01-11T00:00+01:00;10.01.2022;Totalt;181;100;24;24;0;181;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-11T00:00+01:00;2022-01-12T00:00+01:00;11.01.2022;1;79;100;24;24;0;79;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-11T00:00+01:00;2022-01-12T00:00+01:00;11.01.2022;2;120;100;24;24;0;120;0;-;-;-;-;-;-;-;-
